Feature,Importance
bedrooms,0.5949576004054734
bathrooms,0.11661760180724536
latitude,0.07844484281295888
room_type,0.06335837054773166
accommodates,0.053453816195459226
review_scores_rating,0.014701991543567572
host_total_listings_count,0.013551494422392379
longitude,0.013010087073085848
property_type,0.00895818744726431
number_of_reviews,0.008565137633517279
neighbourhood_cleansed,0.007077426123493789
bed_type,0.0066783265757615895
review_scores_cleanliness,0.0054202385550012
beds,0.004623533397174171
zipcode,0.004323343562264181
minimum_nights,0.004051366066858625
review_scores_location,0.0013054993100623008
review_scores_accuracy,0.0007215736930094966
review_scores_value,0.0001379661204427594
review_scores_checkin,4.1003397997616526e-05
review_scores_communication,5.933092382107802e-07
